target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	beta.sign.sum	var.exp.median
HVO_RS02405	HVO_RS03700	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS07420	HVO_RS07430	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS15255	HVO_RS07185	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS00510	HVO_RS00550	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS18405	HVO_RS19025	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS04600	HVO_RS04605	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS02610	HVO_RS02615	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS03140	HVO_RS03340	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS03605	HVO_RS01980	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS00995	HVO_RS00990	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS05525	HVO_RS05530	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS03700	HVO_RS02405	0.500134	0.000000	0.000000	0.000000	-0.000057	0.000000	1.000000	0.500000
HVO_RS01830	HVO_RS01840	0.500131	0.000000	0.000000	0.000000	-0.000060	0.000000	1.000000	0.499136
HVO_RS03105	HVO_RS03090	0.500131	0.000000	0.000000	0.000000	-0.000062	0.000000	1.000000	0.497501
HVO_RS07070	HVO_RS07065	0.500130	0.000000	0.000000	0.000000	-0.000064	0.000000	1.000000	0.497257
HVO_RS01835	HVO_RS01840	0.500130	0.000000	0.000000	0.000000	-0.000066	0.000000	1.000000	0.497012
HVO_RS14470	HVO_RS14485	0.500129	0.000000	0.000000	0.000000	-0.000068	0.000000	1.000000	0.496671
HVO_RS01825	HVO_RS01840	0.500129	0.000000	0.000000	0.000000	-0.000070	0.000000	1.000000	0.496506
HVO_RS01670	HVO_RS00490	0.500128	0.000000	0.000000	0.000000	-0.000072	0.000000	1.000000	0.495361
HVO_RS14480	HVO_RS14485	0.500128	0.000000	0.000000	0.000000	-0.000074	0.000000	1.000000	0.495206
HVO_RS14475	HVO_RS14485	0.500127	0.000000	0.000000	0.000000	-0.000076	0.000000	1.000000	0.494420
HVO_RS13145	HVO_RS17680	0.500127	0.000000	0.000000	0.000000	-0.000078	0.000000	1.000000	0.494098
HVO_RS14920	HVO_RS14935	0.500126	0.000000	0.000000	0.000000	-0.000080	0.000000	1.000000	0.493413
HVO_RS01590	HVO_RS00550	0.500126	0.000000	0.000000	0.000000	-0.000081	0.000000	1.000000	0.491921
HVO_RS01095	HVO_RS00550	0.500125	0.000000	0.000000	0.000000	-0.000083	0.000000	1.000000	0.490880
HVO_RS03035	HVO_RS00550	0.500125	0.000000	0.000000	0.000000	-0.000085	0.000000	1.000000	0.490698
HVO_RS00445	HVO_RS00550	0.500124	0.000000	0.000000	0.000000	-0.000086	0.000000	1.000000	0.490116
HVO_RS01120	HVO_RS00550	0.500124	0.000000	0.000000	0.000000	-0.000088	0.000000	1.000000	0.489617
HVO_RS03375	HVO_RS03390	0.500123	0.000000	0.000000	0.000000	-0.000089	0.000000	1.000000	0.489100
HVO_RS03095	HVO_RS03090	0.500123	0.000000	0.000000	0.000000	-0.000091	0.000000	1.000000	0.488879
HVO_RS04925	HVO_RS04890	0.500122	0.000000	0.000000	0.000000	-0.000092	0.000000	1.000000	0.488484
HVO_RS00945	HVO_RS02040	0.500122	0.000000	0.000000	0.000000	-0.000094	0.000000	1.000000	0.488417
HVO_RS01595	HVO_RS00550	0.500121	0.000000	0.000000	0.000000	-0.000095	0.000000	1.000000	0.487895
HVO_RS04920	HVO_RS04890	0.500121	0.000000	0.000000	0.000000	-0.000097	0.000000	1.000000	0.487880
HVO_RS00310	HVO_RS00320	0.500120	0.000000	0.000000	0.000000	-0.000098	0.000000	1.000000	0.486908
HVO_RS00315	HVO_RS00320	0.500120	0.000000	0.000000	0.000000	-0.000100	0.000000	1.000000	0.486701
HVO_RS01060	HVO_RS00550	0.500119	0.000000	0.000000	0.000000	-0.000101	0.000000	1.000000	0.486625
HVO_RS02260	HVO_RS00550	0.500119	0.000000	0.000000	0.000000	-0.000102	0.000000	1.000000	0.486378
HVO_RS00520	HVO_RS00550	0.500118	0.000000	0.000000	0.000000	-0.000104	0.000000	1.000000	0.486158
HVO_RS06635	HVO_RS10815	0.500118	0.000000	0.000000	0.000000	-0.000105	0.000000	1.000000	0.485977
HVO_RS04520	HVO_RS04530	0.500117	0.000000	0.000000	0.000000	-0.000106	0.000000	1.000000	0.485846
HVO_RS12140	HVO_RS12155	0.500117	0.000000	0.000000	0.000000	-0.000108	0.000000	1.000000	0.485634
HVO_RS07645	HVO_RS00490	0.500116	0.000000	0.000000	0.000000	-0.000109	0.000000	1.000000	0.485470
HVO_RS01125	HVO_RS00550	0.500116	0.000000	0.000000	0.000000	-0.000110	0.000000	1.000000	0.485375
HVO_RS19595	HVO_RS03390	0.500115	0.000000	0.000000	0.000000	-0.000111	0.000000	1.000000	0.484846
HVO_RS04915	HVO_RS04890	0.500115	0.000000	0.000000	0.000000	-0.000113	0.000000	1.000000	0.484491
HVO_RS14885	HVO_RS00550	0.500114	0.000000	0.000000	0.000000	-0.000114	0.000000	1.000000	0.483827
HVO_RS01535	HVO_RS03390	0.500114	0.000000	0.000000	0.000000	-0.000115	0.000000	1.000000	0.483568
HVO_RS01540	HVO_RS03390	0.500114	0.000000	0.000000	0.000000	-0.000116	0.000000	1.000000	0.483522
HVO_RS04435	HVO_RS07610	0.500113	0.000000	0.000000	0.000000	-0.000117	0.000000	1.000000	0.482663
HVO_RS12135	HVO_RS12155	0.500113	0.000000	0.000000	0.000000	-0.000118	0.000000	1.000000	0.482194
HVO_RS00495	HVO_RS00490	0.500112	0.000000	0.000000	0.000000	-0.000120	0.000000	1.000000	0.481892
HVO_RS01015	HVO_RS00550	0.500112	0.000000	0.000000	0.000000	-0.000121	0.000000	1.000000	0.481773
HVO_RS01050	HVO_RS00550	0.500111	0.000000	0.000000	0.000000	-0.000122	0.000000	1.000000	0.481314
HVO_RS14890	HVO_RS07610	0.500111	0.000000	0.000000	0.000000	-0.000123	0.000000	1.000000	0.481241
HVO_RS04910	HVO_RS04890	0.500110	0.000000	0.000000	0.000000	-0.000124	0.000000	1.000000	0.480689
HVO_RS00530	HVO_RS00550	0.500110	0.000000	0.000000	0.000000	-0.000125	0.000000	1.000000	0.480572
HVO_RS01565	HVO_RS00490	0.500109	0.000000	0.000000	0.000000	-0.000126	0.000000	1.000000	0.480210
HVO_RS01655	HVO_RS07610	0.500109	0.000000	0.000000	0.000000	-0.000127	0.000000	1.000000	0.479736
HVO_RS01140	HVO_RS03390	0.500108	0.000000	0.000000	0.000000	-0.000129	0.000000	1.000000	0.478708
HVO_RS01685	HVO_RS00990	0.500108	0.000000	0.000000	0.000000	-0.000130	0.000000	1.000000	0.478341
HVO_RS03210	HVO_RS03390	0.500107	0.000000	0.000000	0.000000	-0.000131	0.000000	1.000000	0.478009
HVO_RS14810	HVO_RS00550	0.500107	0.000000	0.000000	0.000000	-0.000132	0.000000	1.000000	0.477325
HVO_RS01070	HVO_RS00550	0.500106	0.000000	0.000000	0.000000	-0.000133	0.000000	1.000000	0.477266
HVO_RS00790	HVO_RS00780	0.500106	0.000000	0.000000	0.000000	-0.000134	0.000000	1.000000	0.477147
HVO_RS03040	HVO_RS00550	0.500105	0.000000	0.000000	0.000000	-0.000135	0.000000	1.000000	0.476990
HVO_RS00450	HVO_RS07610	0.500105	0.000000	0.000000	0.000000	-0.000136	0.000000	1.000000	0.476902
HVO_RS17610	HVO_RS03020	0.500104	0.000000	0.000000	0.000000	-0.000137	0.000000	1.000000	0.476838
HVO_RS00415	HVO_RS00990	0.500104	0.000000	0.000000	0.000000	-0.000138	0.000000	1.000000	0.476150
HVO_RS19575	HVO_RS07610	0.500103	0.000000	0.000000	0.000000	-0.000139	0.000000	1.000000	0.476086
HVO_RS01675	HVO_RS00490	0.500103	0.000000	0.000000	0.000000	-0.000140	0.000000	1.000000	0.475967
HVO_RS03200	HVO_RS00990	0.500102	0.000000	0.000000	0.000000	-0.000141	0.000000	1.000000	0.475626
HVO_RS03065	HVO_RS03090	0.500102	0.000000	0.000000	0.000000	-0.000142	0.000000	1.000000	0.475622
HVO_RS00850	HVO_RS00990	0.500101	0.000000	0.000000	0.000000	-0.000143	0.000000	1.000000	0.475477
HVO_RS00440	HVO_RS00550	0.500101	0.000000	0.000000	0.000000	-0.000144	0.000000	1.000000	0.475455
HVO_RS14805	HVO_RS00550	0.500100	0.000000	0.000000	0.000000	-0.000145	0.000000	1.000000	0.475045
HVO_RS04420	HVO_RS07610	0.500100	0.000000	0.000000	0.000000	-0.000146	0.000000	1.000000	0.475029
HVO_RS00160	HVO_RS00550	0.500099	0.000000	0.000000	0.000000	-0.000147	0.000000	1.000000	0.474617
HVO_RS03020	HVO_RS00990	0.500099	0.000000	0.000000	0.000000	-0.000147	0.000000	1.000000	0.474470
HVO_RS17050	HVO_RS08155	0.500098	0.000000	0.000000	0.000000	-0.000148	0.000000	1.000000	0.474411
HVO_RS07625	HVO_RS00990	0.500098	0.000000	0.000000	0.000000	-0.000149	0.000000	1.000000	0.473947
HVO_RS04095	HVO_RS04100	0.500097	0.000000	0.000000	0.000000	-0.000150	0.000000	1.000000	0.473239
HVO_RS04060	HVO_RS04055	0.500097	0.000000	0.000000	0.000000	-0.000151	0.000000	1.000000	0.472750
HVO_RS00410	HVO_RS00490	0.500096	0.000000	0.000000	0.000000	-0.000152	0.000000	1.000000	0.472608
HVO_RS04430	HVO_RS07610	0.500096	0.000000	0.000000	0.000000	-0.000153	0.000000	1.000000	0.472212
HVO_RS00785	HVO_RS00780	0.500096	0.000000	0.000000	0.000000	-0.000154	0.000000	1.000000	0.472170
HVO_RS01025	HVO_RS00550	0.500095	0.000000	0.000000	0.000000	-0.000155	0.000000	1.000000	0.471853
HVO_RS08385	HVO_RS08400	0.500095	0.000000	0.000000	0.000000	-0.000156	0.000000	1.000000	0.471664
HVO_RS01110	HVO_RS03390	0.500094	0.000000	0.000000	0.000000	-0.000157	0.000000	1.000000	0.471118
HVO_RS01600	HVO_RS00490	0.500094	0.000000	0.000000	0.000000	-0.000157	0.000000	1.000000	0.471099
HVO_RS14735	HVO_RS00665	0.500093	0.000000	0.000000	0.000000	-0.000158	0.000000	1.000000	0.471022
HVO_RS11320	HVO_RS11235	0.500093	0.000000	0.000000	0.000000	-0.000159	0.000000	1.000000	0.470949
HVO_RS01550	HVO_RS00665	0.500092	0.000000	0.000000	0.000000	-0.000160	0.000000	1.000000	0.470937
HVO_RS15455	HVO_RS03390	0.500092	0.000000	0.000000	0.000000	-0.000161	0.000000	1.000000	0.470711
HVO_RS01005	HVO_RS00490	0.500091	0.000000	0.000000	0.000000	-0.000162	0.000000	1.000000	0.470626
HVO_RS03380	HVO_RS03020	0.500091	0.000000	0.000000	0.000000	-0.000163	0.000000	1.000000	0.470531
HVO_RS01650	HVO_RS07610	0.500090	0.000000	0.000000	0.000000	-0.000163	0.000000	1.000000	0.470258
HVO_RS01560	HVO_RS00990	0.500090	0.000000	0.000000	0.000000	-0.000164	0.000000	1.000000	0.469862
HVO_RS02225	HVO_RS01530	0.500089	0.000000	0.000000	0.000000	-0.000165	0.000000	1.000000	0.469818
HVO_RS00525	HVO_RS00550	0.500089	0.000000	0.000000	0.000000	-0.000166	0.000000	1.000000	0.469553
HVO_RS01580	HVO_RS00550	0.500088	0.000000	0.000000	0.000000	-0.000167	0.000000	1.000000	0.469474
HVO_RS08985	HVO_RS10420	0.500088	0.000000	0.000000	0.000000	-0.000168	0.000000	1.000000	0.469106
HVO_RS03055	HVO_RS00550	0.500087	0.000000	0.000000	0.000000	-0.000168	0.000000	1.000000	0.468976
HVO_RS00140	HVO_RS00490	0.500087	0.000000	0.000000	0.000000	-0.000169	0.000000	1.000000	0.468953
HVO_RS03310	HVO_RS00550	0.500086	0.000000	0.000000	0.000000	-0.000170	0.000000	1.000000	0.468796
HVO_RS00920	HVO_RS00550	0.500086	0.000000	0.000000	0.000000	-0.000171	0.000000	1.000000	0.468270
HVO_RS01635	HVO_RS00490	0.500085	0.000000	0.000000	0.000000	-0.000172	0.000000	1.000000	0.468049
HVO_RS01065	HVO_RS00550	0.500085	0.000000	0.000000	0.000000	-0.000172	0.000000	1.000000	0.467879
HVO_RS19570	HVO_RS07610	0.500084	0.000000	0.000000	0.000000	-0.000173	0.000000	1.000000	0.467662
HVO_RS03225	HVO_RS02330	0.500084	0.000000	0.000000	0.000000	-0.000174	0.000000	1.000000	0.466803
HVO_RS03100	HVO_RS03090	0.500083	0.000000	0.000000	0.000000	-0.000175	0.000000	1.000000	0.466601
HVO_RS04050	HVO_RS07610	0.500083	0.000000	0.000000	0.000000	-0.000176	0.000000	1.000000	0.466430
HVO_RS16765	HVO_RS12155	0.500082	0.000000	0.000000	0.000000	-0.000176	0.000000	1.000000	0.466303
HVO_RS00610	HVO_RS00550	0.500082	0.000000	0.000000	0.000000	-0.000177	0.000000	1.000000	0.465923
HVO_RS05105	HVO_RS02330	0.500081	0.000000	0.000000	0.000000	-0.000178	0.000000	1.000000	0.464465
HVO_RS14915	HVO_RS14935	0.500081	0.000000	0.000000	0.000000	-0.000179	0.000000	1.000000	0.464315
HVO_RS05755	HVO_RS01840	0.500080	0.000000	0.000000	0.000000	-0.000179	0.000000	1.000000	0.464111
HVO_RS01680	HVO_RS00990	0.500080	0.000000	0.000000	0.000000	-0.000180	0.000000	1.000000	0.463811
HVO_RS02305	HVO_RS00550	0.500079	0.000000	0.000000	0.000000	-0.000181	0.000000	1.000000	0.463781
HVO_RS13745	HVO_RS12155	0.500079	0.000000	0.000000	0.000000	-0.000182	0.000000	1.000000	0.463616
HVO_RS16995	HVO_RS08155	0.500078	0.000000	0.000000	0.000000	-0.000183	0.000000	1.000000	0.462968
HVO_RS05100	HVO_RS02330	0.500078						1.000000	0.462498
HVO_RS01055	HVO_RS00550	0.500077	0.000000	0.000000	0.000000	-0.000183	0.000000	1.000000	0.462455
HVO_RS00130	HVO_RS03390	0.500077	0.000000	0.000000	0.000000	-0.000184	0.000000	1.000000	0.462295
HVO_RS07600	HVO_RS00490	0.500077	0.000000	0.000000	0.000000	-0.000185	0.000000	1.000000	0.462100
HVO_RS10070	HVO_RS07065	0.500076	0.000000	0.000000	0.000000	-0.000186	0.000000	1.000000	0.461897
HVO_RS14930	HVO_RS00490	0.500076	0.000000	0.000000	0.000000	-0.000186	0.000000	1.000000	0.461845
HVO_RS01240	HVO_RS00490	0.500075	0.000000	0.000000	0.000000	-0.000187	0.000000	1.000000	0.461697
HVO_RS17705	HVO_RS10420	0.500075	0.000000	0.000000	0.000000	-0.000188	0.000000	1.000000	0.461461
HVO_RS04135	HVO_RS03390	0.500074	0.000000	0.000000	0.000000	-0.000188	0.000000	1.000000	0.461195
HVO_RS01980	HVO_RS04530	0.500074	0.000000	0.000000	0.000000	-0.000189	0.000000	1.000000	0.461088
HVO_RS04550	HVO_RS07610	0.500073	0.000000	0.000000	0.000000	-0.000190	0.000000	1.000000	0.460982
HVO_RS07610	HVO_RS00550	0.500073	0.000000	0.000000	0.000000	-0.000191	0.000000	1.000000	0.460930
HVO_RS13705	HVO_RS12155	0.500072	0.000000	0.000000	0.000000	-0.000191	0.000000	1.000000	0.460818
HVO_RS04140	HVO_RS03390	0.500072	0.000000	0.000000	0.000000	-0.000192	0.000000	1.000000	0.460527
HVO_RS03330	HVO_RS03020	0.500071	0.000000	0.000000	0.000000	-0.000193	0.000000	1.000000	0.460504
HVO_RS04905	HVO_RS04890	0.500071	0.000000	0.000000	0.000000	-0.000194	0.000000	1.000000	0.460453
HVO_RS14875	HVO_RS00550	0.500070	0.000000	0.000000	0.000000	-0.000194	0.000000	1.000000	0.460283
HVO_RS01555	HVO_RS00490	0.500070	0.000000	0.000000	0.000000	-0.000195	0.000000	1.000000	0.460063
HVO_RS01270	HVO_RS00550	0.500069	0.000000	0.000000	0.000000	-0.000196	0.000000	1.000000	0.459794
HVO_RS19420	HVO_RS15650	0.500069	0.000000	0.000000	0.000000	-0.000196	0.000000	1.000000	0.459640
HVO_RS08420	HVO_RS05530	0.500068	0.000000	0.000000	0.000000	-0.000197	0.000000	1.000000	0.459503
HVO_RS01640	HVO_RS00490	0.500068	0.000000	0.000000	0.000000	-0.000198	0.000000	1.000000	0.459091
HVO_RS07110	HVO_RS17855	0.500067	0.000000	0.000000	0.000000	-0.000198	0.000000	1.000000	0.458984
HVO_RS15190	HVO_RS05530	0.500067	0.000000	0.000000	0.000000	-0.000199	0.000000	1.000000	0.458762
HVO_RS01575	HVO_RS00550	0.500066	0.000000	0.000000	0.000000	-0.000200	0.000000	1.000000	0.458590
