target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
VNG_RS08380	VNG_RS05805	0.999329						0	1.000000	0.180440
VNG_RS05055	VNG_RS01755	0.999322						0	1.000000	0.180343
VNG_RS12320	VNG_RS12310	0.999314						0	1.000000	0.179696
VNG_RS03870	VNG_RS12310	0.999306						0	1.000000	0.178150
VNG_RS09900	VNG_RS09875	0.999299						1	1.000000	0.177377
VNG_RS13365	VNG_RS11535	0.999291						0	1.000000	0.176756
VNG_RS11450	VNG_RS07825	0.999284						0	1.000000	0.176462
VNG_RS12330	VNG_RS12310	0.999276						0	1.000000	0.176122
VNG_RS07895	VNG_RS07155	0.999269						0	1.000000	0.175960
VNG_RS06440	VNG_RS06275	0.999261						0	-1.000000	0.175811
VNG_RS12275	VNG_RS07115	0.999254						0	1.000000	0.174179
VNG_RS12700	VNG_RS11535	0.999246						0	1.000000	0.171585
VNG_RS02745	VNG_RS02760	0.999239						1	1.000000	0.171531
VNG_RS02885	VNG_RS00660	0.999231						1	1.000000	0.169708
VNG_RS07825	VNG_RS02325	0.999224						0	1.000000	0.168346
VNG_RS09205	VNG_RS00605	0.999216						0	1.000000	0.167836
VNG_RS05695	VNG_RS05800	0.999208						1	1.000000	0.167400
VNG_RS07325	VNG_RS10335	0.999201						0	1.000000	0.165244
VNG_RS12305	VNG_RS12310	0.999193						0	1.000000	0.164846
VNG_RS05885	VNG_RS05870	0.999186						1	1.000000	0.164190
VNG_RS07925	VNG_RS05030	0.999178						0	1.000000	0.161157
VNG_RS05220	VNG_RS09875	0.999171						0	1.000000	0.161102
VNG_RS00275	VNG_RS01005	0.999163						0	1.000000	0.160129
VNG_RS04400	VNG_RS02585	0.999156						0	-1.000000	0.157935
VNG_RS07565	VNG_RS12735	0.999148						0	1.000000	0.157211
VNG_RS08090	VNG_RS07115	0.999141						0	1.000000	0.154108
VNG_RS10050	VNG_RS01835	0.999133						0	1.000000	0.153804
VNG_RS02765	VNG_RS01050	0.999126						1	1.000000	0.153779
VNG_RS03565	VNG_RS05700	0.999118						1	1.000000	0.153738
VNG_RS01935	VNG_RS06930	0.999110						0	1.000000	0.152592
VNG_RS01965	VNG_RS08410	0.999103						0	-1.000000	0.152479
VNG_RS06190	VNG_RS07155	0.999095						0	-1.000000	0.152474
VNG_RS12780	VNG_RS11535	0.999088						0	1.000000	0.152059
VNG_RS11985	VNG_RS08410	0.999080						0	1.000000	0.151316
VNG_RS05495	VNG_RS02575	0.999073						1	1.000000	0.150814
VNG_RS13345	VNG_RS07115	0.999065						0	-1.000000	0.150767
VNG_RS06835	VNG_RS02575	0.999058						0	1.000000	0.149727
VNG_RS05360	VNG_RS07890	0.999050						1	1.000000	0.149517
VNG_RS00045	VNG_RS08105	0.999043						0	-1.000000	0.148390
VNG_RS13645	VNG_RS02000	0.999035						0	-1.000000	0.148338
VNG_RS07445	VNG_RS07385	0.999028						0	1.000000	0.147639
VNG_RS09430	VNG_RS02975	0.999020						1	1.000000	0.147088
VNG_RS12460	VNG_RS01005	0.999012						0	1.000000	0.146704
VNG_RS03015	VNG_RS03010	0.999005						1	1.000000	0.145477
VNG_RS09245	VNG_RS09875	0.998997						0	1.000000	0.144377
VNG_RS12705	VNG_RS07155	0.998990						0	1.000000	0.143806
VNG_RS03855	VNG_RS12310	0.998982						0	1.000000	0.143211
VNG_RS00265	VNG_RS00150	0.998975						0	-1.000000	0.143207
VNG_RS09430	VNG_RS08510	0.998967						1	1.000000	0.142689
VNG_RS02950	VNG_RS00275	0.998960						0	1.000000	0.142629
VNG_RS04345	VNG_RS12310	0.998952						0	1.000000	0.142250
VNG_RS10085	VNG_RS02095	0.998945						1	1.000000	0.141109
VNG_RS11060	VNG_RS07470	0.998937						0	1.000000	0.140929
VNG_RS09430	VNG_RS01250	0.998930						1	1.000000	0.140250
VNG_RS00745	VNG_RS01250	0.998922						0	-1.000000	0.140211
VNG_RS12290	VNG_RS07115	0.998914						0	1.000000	0.139984
VNG_RS07895	VNG_RS00660	0.998907						1	1.000000	0.139106
VNG_RS12230	VNG_RS06275	0.998899						0	1.000000	0.138967
VNG_RS02880	VNG_RS01835	0.998892						0	1.000000	0.137582
VNG_RS13070	VNG_RS01645	0.998884						0	-1.000000	0.137131
VNG_RS08560	VNG_RS05700	0.998877						0	-1.000000	0.137047
VNG_RS09000	VNG_RS00605	0.998869						0	1.000000	0.137000
VNG_RS09495	VNG_RS05785	0.998862						0	1.000000	0.136386
VNG_RS11120	VNG_RS11535	0.998854						0	1.000000	0.136085
VNG_RS00870	VNG_RS00275	0.998847						0	1.000000	0.136084
VNG_RS02585	VNG_RS06275	0.998839						0	-1.000000	0.135971
VNG_RS13255	VNG_RS10085	0.998832						0	-1.000000	0.135207
VNG_RS13345	VNG_RS10230	0.998824						0	1.000000	0.134955
VNG_RS11255	VNG_RS01645	0.998817						0	-1.000000	0.134619
VNG_RS12285	VNG_RS07115	0.998809						0	1.000000	0.134535
VNG_RS02110	VNG_RS09875	0.998801						0	1.000000	0.134332
VNG_RS13660	VNG_RS11535	0.998794						0	1.000000	0.133911
VNG_RS05025	VNG_RS07385	0.998786						0	-1.000000	0.133518
VNG_RS11110	VNG_RS11535	0.998779						0	1.000000	0.133463
VNG_RS00275	VNG_RS01465	0.998771						0	-1.000000	0.132701
VNG_RS10180	VNG_RS01465	0.998764						0	-1.000000	0.132037
VNG_RS03565	VNG_RS02575	0.998756						1	1.000000	0.131979
VNG_RS05610	VNG_RS12735	0.998749						0	1.000000	0.131594
VNG_RS12210	VNG_RS00150	0.998741						0	1.000000	0.131485
VNG_RS07725	VNG_RS08410	0.998734						0	-1.000000	0.131167
VNG_RS12310	VNG_RS07385	0.998726						0	-1.000000	0.130855
VNG_RS10400	VNG_RS10430	0.998719						0	1.000000	0.130251
VNG_RS12315	VNG_RS12310	0.998711						0	1.000000	0.130158
VNG_RS02910	VNG_RS08745	0.998703						0	-1.000000	0.130057
VNG_RS02005	VNG_RS09550	0.998696						1	1.000000	0.129663
VNG_RS00780	VNG_RS06030	0.998688						0	1.000000	0.129476
VNG_RS03935	VNG_RS01645	0.998681						0	-1.000000	0.129316
VNG_RS04135	VNG_RS08410	0.998673						0	-1.000000	0.128985
VNG_RS13675	VNG_RS00150	0.998666						0	1.000000	0.128765
VNG_RS11940	VNG_RS07155	0.998658						0	1.000000	0.128396
VNG_RS13555	VNG_RS08510	0.998651						0	-1.000000	0.127492
VNG_RS01590	VNG_RS05430	0.998643						0	1.000000	0.126849
VNG_RS09525	VNG_RS01795	0.998636						0	1.000000	0.126781
VNG_RS02100	VNG_RS09875	0.998628						0	1.000000	0.126775
VNG_RS01595	VNG_RS10430	0.998621						0	-1.000000	0.126773
VNG_RS08810	VNG_RS08105	0.998613						0	1.000000	0.126006
VNG_RS05015	VNG_RS11535	0.998605						0	-1.000000	0.125985
VNG_RS08940	VNG_RS11535	0.998598						0	1.000000	0.125913
VNG_RS04900	VNG_RS05455	0.998590						0	1.000000	0.125632
VNG_RS03950	VNG_RS02095	0.998583						0	1.000000	0.125560
VNG_RS06090	VNG_RS01035	0.998575						0	-1.000000	0.124694
VNG_RS04830	VNG_RS00660	0.998568						1	1.000000	0.124617
VNG_RS00145	VNG_RS07825	0.998560						0	-1.000000	0.124431
VNG_RS12575	VNG_RS04605	0.998553						0	1.000000	0.124203
VNG_RS00640	VNG_RS08510	0.998545						0	1.000000	0.124000
VNG_RS06165	VNG_RS06275	0.998538						0	1.000000	0.123924
VNG_RS08490	VNG_RS00660	0.998530						1	1.000000	0.123629
VNG_RS01805	VNG_RS05395	0.998523						0	-1.000000	0.123616
VNG_RS00280	VNG_RS01465	0.998515						0	-1.000000	0.123315
VNG_RS12795	VNG_RS00150	0.998507						0	1.000000	0.123208
VNG_RS07535	VNG_RS00605	0.998500						0	1.000000	0.123008
VNG_RS13220	VNG_RS03570	0.998492						0	-1.000000	0.122920
VNG_RS03985	VNG_RS10230	0.998485						0	-1.000000	0.122821
VNG_RS01765	VNG_RS05800	0.998477						0	-1.000000	0.122626
VNG_RS09210	VNG_RS07825	0.998470						0	1.000000	0.122510
VNG_RS01805	VNG_RS00145	0.998462						0	1.000000	0.122467
VNG_RS12305	VNG_RS04605	0.998455						0	-1.000000	0.122395
VNG_RS11225	VNG_RS04605	0.998447						0	1.000000	0.122251
VNG_RS06435	VNG_RS01250	0.998440						0	-1.000000	0.121576
VNG_RS06440	VNG_RS01795	0.998432						0	1.000000	0.121146
VNG_RS13225	VNG_RS11895	0.998425						0	1.000000	0.120964
VNG_RS05715	VNG_RS01465	0.998417						0	-1.000000	0.120764
VNG_RS01570	VNG_RS12735	0.998409						0	1.000000	0.120585
VNG_RS12220	VNG_RS10490	0.998402						0	1.000000	0.120280
VNG_RS06815	VNG_RS02845	0.998394						0	1.000000	0.120127
