target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
HVO_RS07420	HVO_RS07430	0.999986						1.000000	1.000000	1.000000
HVO_RS00510	HVO_RS00550	0.999986						1.000000	1.000000	1.000000
HVO_RS03700	HVO_RS02405	0.999986						1.000000	1.000000	1.000000
HVO_RS00995	HVO_RS00990	0.999986						1.000000	1.000000	1.000000
HVO_RS02610	HVO_RS02615	0.999986						1.000000	1.000000	1.000000
HVO_RS02405	HVO_RS03700	0.999986	1.000000	1.000000	0.002907	0.093289	0.005797	0.000000	1.000000	1.000000
HVO_RS03685	HVO_RS02420	0.999986	1.000000	1.000000	0.005814	0.093289	0.011561	0.000000	1.000000	1.000000
HVO_RS03280	HVO_RS02040	0.999986						1.000000	1.000000	1.000000
HVO_RS15255	HVO_RS07185	0.999986						1.000000	1.000000	1.000000
HVO_RS18940	HVO_RS16810	0.999986	1.000000	1.000000	0.008721	0.093289	0.017291		1.000000	1.000000
HVO_RS05525	HVO_RS05530	0.999986						1.000000	1.000000	1.000000
HVO_RS04600	HVO_RS04605	0.999986						1.000000	1.000000	1.000000
HVO_RS01370	HVO_RS01380	0.999986						1.000000	1.000000	1.000000
HVO_RS02470	HVO_RS02465	0.999969						1.000000	1.000000	0.999834
HVO_RS05580	HVO_RS05680	0.999967							1.000000	0.999324
HVO_RS01830	HVO_RS01840	0.999964						1.000000	1.000000	0.998272
HVO_RS14470	HVO_RS14485	0.999962						1.000000	1.000000	0.996298
HVO_RS03105	HVO_RS03090	0.999960						1.000000	1.000000	0.995687
HVO_RS01835	HVO_RS01840	0.999957						1.000000	1.000000	0.994023
HVO_RS01825	HVO_RS01840	0.999955						1.000000	1.000000	0.993013
HVO_RS14920	HVO_RS14935	0.999953						1.000000	1.000000	0.992890
HVO_RS01670	HVO_RS00490	0.999950	1.000000	1.000000	0.011628	0.107722	0.022989	0.000000	1.000000	0.990723
HVO_RS14480	HVO_RS14485	0.999948						1.000000	1.000000	0.988646
HVO_RS07070	HVO_RS07065	0.999945						1.000000	1.000000	0.988463
HVO_RS13145	HVO_RS17680	0.999943	1.000000	1.000000	0.014535	0.120437	0.028653		1.000000	0.988196
HVO_RS04465	HVO_RS04460	0.999941						1.000000	1.000000	0.984837
HVO_RS01590	HVO_RS00550	0.999938						0.000000	1.000000	0.983843
HVO_RS06635	HVO_RS10815	0.999936						1.000000	1.000000	0.983702
HVO_RS01095	HVO_RS00550	0.999934						0.000000	1.000000	0.981760
HVO_RS03035	HVO_RS00550	0.999931						0.000000	1.000000	0.981396
HVO_RS00445	HVO_RS00550	0.999929						0.000000	1.000000	0.980233
HVO_RS14475	HVO_RS14485	0.999926						1.000000	1.000000	0.980215
HVO_RS04925	HVO_RS04890	0.999924							1.000000	0.979939
HVO_RS02695	HVO_RS01980	0.999922						0.000000	1.000000	0.978192
HVO_RS04920	HVO_RS04890	0.999919							1.000000	0.975883
HVO_RS01595	HVO_RS00550	0.999917	0.000000	0.833333	0.014535	0.109898	0.028571	0.000000	1.000000	0.975791
HVO_RS00310	HVO_RS00320	0.999915						1.000000	1.000000	0.973550
HVO_RS01060	HVO_RS00550	0.999912						0.000000	1.000000	0.973249
HVO_RS00315	HVO_RS00320	0.999910	1.000000	0.857143	0.017442	0.122103	0.034188	0.000000	1.000000	0.973235
HVO_RS02260	HVO_RS00550	0.999907						0.000000	1.000000	0.972756
HVO_RS00520	HVO_RS00550	0.999905						0.000000	1.000000	0.972316
HVO_RS04520	HVO_RS04530	0.999903						1.000000	1.000000	0.971692
HVO_RS03600	HVO_RS15650	0.999900	1.000000	0.875000	0.020349	0.133261	0.039773		1.000000	0.971298
HVO_RS12140	HVO_RS12155	0.999898							1.000000	0.971268
HVO_RS07645	HVO_RS00490	0.999896	0.000000	0.777778	0.020349	0.125602	0.039660	0.000000	1.000000	0.970941
HVO_RS14885	HVO_RS00550	0.999893						0.000000	1.000000	0.967653
HVO_RS01120	HVO_RS00550	0.999891						0.000000	1.000000	0.966495
HVO_RS04435	HVO_RS07610	0.999888	0.000000	0.700000	0.020349	0.119121	0.039548	0.000000	1.000000	0.965326
