target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	beta.sign.sum	var.exp.median
HVO_RS00440	HVO_RS00550	0.500083						1.000000	0.475455
HVO_RS07245	HVO_RS00550	0.500082						1.000000	0.475371
HVO_RS14805	HVO_RS00550	0.500082	0.000000	0.500000	0.029070	0.120191	0.054945	1.000000	0.475045
HVO_RS04420	HVO_RS07610	0.500081						1.000000	0.475029
HVO_RS03020	HVO_RS00990	0.500081						1.000000	0.474470
HVO_RS00565	HVO_RS01980	0.500080						1.000000	0.474261
HVO_RS07625	HVO_RS00990	0.500080						1.000000	0.473947
HVO_RS00120	HVO_RS00490	0.500079						1.000000	0.473856
HVO_RS07100	HVO_RS01980	0.500079						1.000000	0.473761
HVO_RS03100	HVO_RS03090	0.500078						1.000000	0.472832
HVO_RS14915	HVO_RS14935	0.500078						1.000000	0.472302
HVO_RS04430	HVO_RS07610	0.500077						1.000000	0.472212
HVO_RS01025	HVO_RS00550	0.500077						1.000000	0.471853
HVO_RS06755	HVO_RS06620	0.500076						1.000000	0.471686
HVO_RS10410	HVO_RS01980	0.500076						1.000000	0.471619
HVO_RS13965	HVO_RS01980	0.500075						1.000000	0.471456
HVO_RS17050	HVO_RS08155	0.500075	1.000000	0.523810	0.031977	0.129048	0.060274	1.000000	0.471429
HVO_RS01600	HVO_RS00490	0.500074						1.000000	0.471099
HVO_RS01550	HVO_RS00665	0.500074						1.000000	0.470889
HVO_RS13705	HVO_RS06620	0.500073						1.000000	0.470564
HVO_RS03380	HVO_RS03020	0.500073						1.000000	0.470531
HVO_RS06565	HVO_RS04460	0.500072						1.000000	0.470296
HVO_RS01650	HVO_RS07610	0.500072	0.000000	0.500000	0.031977	0.126058	0.060109	1.000000	0.470258
HVO_RS01980	HVO_RS04530	0.500071						1.000000	0.469995
HVO_RS02225	HVO_RS01530	0.500071						1.000000	0.469818
HVO_RS00525	HVO_RS00550	0.500070	0.000000	0.478261	0.031977	0.123264	0.059946	1.000000	0.469553
HVO_RS01580	HVO_RS00550	0.500070						1.000000	0.469474
HVO_RS17805	HVO_RS06620	0.500069						1.000000	0.469387
HVO_RS08985	HVO_RS10420	0.500069						1.000000	0.469106
HVO_RS04440	HVO_RS07610	0.500068						1.000000	0.469040
HVO_RS03055	HVO_RS00550	0.500068						1.000000	0.468976
HVO_RS00140	HVO_RS00490	0.500068						1.000000	0.468953
HVO_RS13740	HVO_RS06620	0.500067						1.000000	0.468817
HVO_RS03310	HVO_RS00550	0.500067						1.000000	0.468796
HVO_RS00120	HVO_RS02040	0.500066						1.000000	0.468772
HVO_RS11320	HVO_RS11235	0.500066						1.000000	0.468661
HVO_RS09985	HVO_RS01980	0.500065						1.000000	0.468575
HVO_RS03885	HVO_RS01980	0.500065						1.000000	0.468544
HVO_RS00920	HVO_RS00550	0.500064	0.000000	0.458333	0.031977	0.120646	0.059783	1.000000	0.468270
HVO_RS01635	HVO_RS00490	0.500064						1.000000	0.468049
HVO_RS01065	HVO_RS00550	0.500063						1.000000	0.467879
HVO_RS05340	HVO_RS01980	0.500063						1.000000	0.467850
HVO_RS05615	HVO_RS06620	0.500062						1.000000	0.467693
HVO_RS19570	HVO_RS07610	0.500062						1.000000	0.467662
HVO_RS00610	HVO_RS00550	0.500061						1.000000	0.467249
HVO_RS08895	HVO_RS00550	0.500061						1.000000	0.466758
HVO_RS10615	HVO_RS03710	0.500060						1.000000	0.466515
HVO_RS04050	HVO_RS07610	0.500060	0.000000	0.440000	0.031977	0.118186	0.059621	1.000000	0.466430
HVO_RS16765	HVO_RS12155	0.500059						1.000000	0.466137
HVO_RS17450	HVO_RS01980	0.500059	0.000000	0.423077	0.031977	0.115869	0.059459	1.000000	0.465591
HVO_RS01555	HVO_RS01240	0.500058						1.000000	0.465012
HVO_RS14910	HVO_RS14935	0.500058						1.000000	0.464604
HVO_RS01125	HVO_RS00550	0.500057						1.000000	0.464527
HVO_RS05105	HVO_RS02330	0.500057						1.000000	0.464465
HVO_RS05755	HVO_RS01840	0.500056						1.000000	0.464111
HVO_RS01680	HVO_RS00990	0.500056	0.000000	0.407407	0.031977	0.113682	0.059299	1.000000	0.463811
HVO_RS02305	HVO_RS00550	0.500055						1.000000	0.463781
HVO_RS19035	HVO_RS01980	0.500055						1.000000	0.463670
HVO_RS14490	HVO_RS01980	0.500054						1.000000	0.463179
HVO_RS06980	HVO_RS06620	0.500054	0.000000	0.392857	0.031977	0.111613	0.059140	1.000000	0.463176
HVO_RS16995	HVO_RS08155	0.500053						1.000000	0.462972
HVO_RS05100	HVO_RS02330	0.500053						1.000000	0.462498
HVO_RS01055	HVO_RS00550	0.500052	0.000000	0.379310	0.031977	0.109651	0.058981	1.000000	0.462455
HVO_RS04930	HVO_RS04890	0.500052						1.000000	0.462020
HVO_RS14930	HVO_RS00490	0.500051						1.000000	0.461845
HVO_RS01240	HVO_RS00490	0.500051	0.000000	0.366667	0.031977	0.107788	0.058824	1.000000	0.461697
HVO_RS08545	HVO_RS08540	0.500050						1.000000	0.461559
HVO_RS17705	HVO_RS10420	0.500050						1.000000	0.461461
HVO_RS04095	HVO_RS04100	0.500049						1.000000	0.461422
