target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
VNG_RS07830	VNG_RS07825	1.000000	1	1.000000	0.000892	0.029804	0.001783	1	1.000000	0.879321
VNG_RS11020	VNG_RS12735	0.999992	1	1.000000	0.001784	0.042149	0.003562	1	1.000000	0.866601
VNG_RS00975	VNG_RS01835	0.999985	1	1.000000	0.002676	0.051622	0.005338	1	1.000000	0.862064
VNG_RS00150	VNG_RS11895	0.999977	1	1.000000	0.003568	0.059608	0.007111	1	1.000000	0.855211
VNG_RS01765	VNG_RS01780	0.999970	1	1.000000	0.004460	0.066644	0.008881	1	1.000000	0.663688
VNG_RS07310	VNG_RS05640	0.999962	1	1.000000	0.005352	0.073005	0.010648	1	1.000000	0.642732
VNG_RS12485	VNG_RS00590	0.999955	1	1.000000	0.006244	0.078854	0.012411	1	1.000000	0.624632
VNG_RS11895	VNG_RS00150	0.999947	1	1.000000	0.007136	0.084299	0.014172	1	1.000000	0.597949
VNG_RS12920	VNG_RS07155	0.999940	1	1.000000	0.008029	0.089412	0.015929	1	1.000000	0.577321
VNG_RS12485	VNG_RS01035	0.999932	1	1.000000	0.008921	0.094249	0.017683	1	1.000000	0.519802
VNG_RS01490	VNG_RS02585	0.999925	1	1.000000	0.009813	0.098850	0.019435	1	1.000000	0.504945
VNG_RS06285	VNG_RS05805	0.999917	1	1.000000	0.010705	0.103245	0.021183	1	1.000000	0.485239
VNG_RS01795	VNG_RS00145	0.999910	1	1.000000	0.011597	0.107461	0.022928	1	1.000000	0.483155
VNG_RS09705	VNG_RS01755	0.999902	1	1.000000	0.012489	0.111518	0.024670	1	1.000000	0.458858
VNG_RS01005	VNG_RS00640	0.999894	1	1.000000	0.013381	0.115432	0.026408	1	1.000000	0.456898
VNG_RS00590	VNG_RS12485	0.999887	1	1.000000	0.014273	0.119218	0.028144	1	1.000000	0.435051
VNG_RS06640	VNG_RS01645	0.999879	1	1.000000	0.015165	0.122888	0.029877	1	1.000000	0.431269
VNG_RS10030	VNG_RS05030	0.999872	1	1.000000	0.016057	0.126450	0.031607	1	1.000000	0.419466
VNG_RS01765	VNG_RS03010	0.999864	1	1.000000	0.016949	0.129916	0.033333	1	1.000000	0.396403
VNG_RS03565	VNG_RS07890	0.999857	1	1.000000	0.017841	0.133291	0.035057	1	1.000000	0.396070
VNG_RS05605	VNG_RS00145	0.999849	1	1.000000	0.018733	0.136583	0.036778	1	1.000000	0.395503
VNG_RS06585	VNG_RS01645	0.999842	1	1.000000	0.019625	0.139797	0.038495	1	1.000000	0.393530
VNG_RS12605	VNG_RS11050	0.999834	1	1.000000	0.020517	0.142940	0.040210	1	1.000000	0.384840
VNG_RS05715	VNG_RS03875	0.999827	1	1.000000	0.021409	0.146014	0.041921	1	1.000000	0.378599
VNG_RS10010	VNG_RS03275	0.999819	1	1.000000	0.022302	0.149025	0.043630	1	1.000000	0.372296
VNG_RS12340	VNG_RS12310	0.999812	0	0.961538	0.022302	0.146107	0.043592	0	1.000000	0.362084
VNG_RS11220	VNG_RS04845	0.999804	1	0.962963	0.023194	0.149112	0.045296	1	1.000000	0.356982
VNG_RS12595	VNG_RS11050	0.999796	1	0.964286	0.024086	0.152058	0.046997	1	1.000000	0.344402
VNG_RS00145	VNG_RS01795	0.999789	1	0.965517	0.024978	0.154948	0.048696	1	1.000000	0.334108
VNG_RS07895	VNG_RS07890	0.999781	0	0.933333	0.024978	0.152321	0.048653	0	-1.000000	0.332934
VNG_RS05715	VNG_RS05800	0.999774	1	0.935484	0.025870	0.155197	0.050347	1	1.000000	0.332595
VNG_RS10085	VNG_RS03275	0.999766	1	0.937500	0.026762	0.158022	0.052038	1	1.000000	0.328021
VNG_RS05720	VNG_RS05800	0.999759	1	0.939394	0.027654	0.160798	0.053726	1	1.000000	0.321413
